id,text,label
"32", "Aðaçlar fotosentez yaparak oksijen üretir.", "bilgi"
"33", "Dandanakan Savaþý 1040 yýlýnda yapýlmýþtýr.", "bilgi"
"34", "Türkiye Cumhuriyeti'nin kurucusu Mustafa Kemal Atatürk'tür.", "bilgi"
"35", "Türkiye Cumhuriyeti 29 Ekim 1923'te kurulmuþtur.", "bilgi"
"36", "Mustafa Kemal Atatürk Türkiye Cumhuriyeti'nin ilk cumhurbaþkanýdýr.", "bilgi"
"37", "Talas Savaþý 751 yýlýnda yapýlmýþtýr.", "bilgi"
"38", "Birinci Dünya Savaþý 1914-1918 yýllarý arasýnda olmuþtur", "bilgi"
"39", "Galatasaray Avrupa Þampiyonu olan tek Türk takýmýdýr.", "bilgi"
"40", "Ayasofya Ýstanbul’da bulunan tarihi bir yapýdýr.", "bilgi"
"41", "Anýtkabir Ankara'da bulunan Atatürk'ün anýt mezarýdýr.", "bilgi"
"42", "KDV oraný elektronik ürünlerde genellikle %18'dir.", "bilgi"
"43", "Süt buzdolabýnda +4 derecede saklanmalýdýr.", "bilgi"
"44", "Dolar kuru bugün 28 TL civarýnda.", "bilgi"
"45", "Kargo takip numarasý ile gönderinizi takip edebilirsiniz.", "bilgi"
"46", "Garanti süresi ürün tipine göre deðiþebilir.", "bilgi"
"47", "Müþteri hizmetleri haftaiçi 09:00-18:00 saatleri arasýnda çalýþýr.", "bilgi"
"48", "Bu kýþ mevsimi beklenenden daha soðuk geçiyor.", "bilgi"
"49", "Karadeniz Bölgesi bol yaðýþ alýr.", "bilgi"
"50", "Enflasyon oraný yýllýk bazda %65 olarak açýklandý.", "bilgi"
"51", "Buzdolabý fiþi çekildikten sonra birkaç saat çalýþmaz.", "bilgi"
"52", "Sitemizde üyelik oluþturmak tamamen ücretsizdir.", "bilgi"
"53", "Yeni kampanyalarýmýzý e-posta ile öðrenebilirsiniz.", "bilgi"
"54", "Ürünüm hala gelmedi neden?", "þikayet"
"55", "Bu kadar kötü hizmet olamaz çok sinirliyim!", "þikayet"
"56", "Fatura hatalý geldi lütfen düzeltin.", "þikayet"
"57", "Defalarca aradým ama kimse yardýmcý olmadý.", "þikayet"
"58", "Ürünle ilgili hiç kimse geri dönüþ yapmadý.", "þikayet"
"59", "Uygulama sürekli kapanýyor kullanamýyorum.", "þikayet"
"60", "Ücretim çekildi ama ürün teslim edilmedi.", "þikayet"
"61", "Ürünüm hala gelmedi.", "þikayet"
"62", "Ürün teslim edilmedi", "þikayet"
"63", "Kimse yardýmcý olmaý", "þikayet"
"64", "Bu kadar kötü hizmet olmaz!", "þikayet"
"65", "Yediðim en kötü pizzaydý!", "þikayet"
"66", "Sizden hiçbir geri dönüþ almadým lütfen yardýmcý olun!", "þikayet"
"67", "Ürünümdeki arýzayý hala çözemediniz ne zaman yapýlacak?", "þikayet"
"68", "Müþteri hizmetlerinizle iletiþim kuramýyorum lütfen çözün.", "þikayet"
"69", "Web siteniz sürekli hata veriyor ne zaman düzelir?", "þikayet"
"70", "Sizden gelen cevaplar hep eksik doðru bir çözüm bekliyorum.", "þikayet"
"71", "Sürekli ayný problemi yaþýyorum ve hala çözüm yok.", "þikayet"
"72", "Sizden gelen kargo geçikti ve kimse bilgi vermedi.", "þikayet"
"73", "Ürünün rengini deðiþtirmek istiyorum ama kimse yardýmcý olmuyor.", "þikayet"
"74", "Yine sipariþim kayboldu neden bu kadar uzun sürüyor?", "þikayet"
"75", "Çalýþanlarýnýz çok ilgisiz ve yardýmcý olmuyor.", "þikayet"
"76", "Yemeðin içerisinden kýl çýktý.", "þikayet"
"77", "Kahve çok þekerli olmuþ", "þikayet"
"78", "Bu yemeðin tadýný beðenmedim.", "þikayet"
"79", "Ürünüm gelmedi", "þikayet"
"80", "Havanýn yaðmurlu olmasýný hiç sevmiyorum.", "þikayet"
"81", "Bu su çok soðuk!", "þikayet"
"82", "Bu su çok sýcak!", "þikayet"
"83", "Saçlarým çok uzamýþ çok kötü gözüküyor!", "þikayet"
"84", "Bu dersi hiç sevmiyorum.", "þikayet"
"85", "Bu konuyu hiç sevmiyorum.", "þikayet"
"86", "Bu çocuðu da hiç sevmem.", "þikayet"
"87", "Ýnanýlmaz gýcýk bir tipi var.", "þikayet"
"88", "Çalýþanlar çok ilgisiz.", "þikayet"
"89", "Okuduðum en kötü kitaptý.", "þikayet"
"90", "En kötü dizi finaliydi.", "þikayet"
"91", "Sipariþim geldi ama eksik ürün vardý.", "þikayet"
"92", "Kargo kutusu parçalanmýþ haldeydi.", "þikayet"
"93", "Kahve sipariþim buz gibi geldi.", "þikayet"
"94", "Müþteri temsilcisi ters davrandý.", "þikayet"
"95", "Arýzalý ürün gönderildi.", "þikayet"
"96", "Hatalý ürün gönderilmiþ.", "þikayet"
"97", "Web sitesi aþýrý yavaþ çalýþýyor.", "þikayet"
"98", "Satýcý mesajlarýma cevap vermiyor.", "þikayet"
"99", "Teslim tarihi geçti ama ürün hala yok.", "þikayet"
"100", "Yanlýþ renk ürün gönderildi.", "þikayet"
"101", "Ürün açýklamasý ile gelen ürün farklýydý.", "þikayet"
"102", "Kredi kartýmdan iki kez çekim yapýlmýþ.", "þikayet"
"103", "Yemek soðuk ve tatsýzdý.", "þikayet"
"104", "Yemek soðuk.", "þikayet"
"105", "Yemek tatsýz.", "þikayet"
"106", "Monster bilgisayar çok ýsýnýyor.", "þikayet"
"107", "Kargo süresi ortalama kaç gün sürüyor?", "bilgi"
"108", "Yeni çýkan modelin teknik özelliklerini öðrenebilir miyim?", "bilgi"
"109", "Aldýðým kulaklýk çalýþmýyor lütfen deðiþim yapýn.", "þikayet"
"110", "Destek hattýnýz asla cevap vermiyor çok maðdurum.", "þikayet"
"111", "Ýade süreci ne kadar sürüyor?", "bilgi"
"112", "Kampanyalar ne zaman sona erecek?", "bilgi"
"113", "Ücretsiz kargo limiti nedir?", "bilgi"
"114", "Ürünlerinizde indirim var mý?", "bilgi"
"115", "Hesap silme iþlemi nasýl yapýlýr?", "bilgi"
"116", "Kargomun nerede olduðunu öðrenemiyorum.", "þikayet"
"117", "Canlý destek hattýnýz sürekli meþgul.", "þikayet"
"118", "Aldýðým ürün farklý renk geldi.", "þikayet"
"119", "Siteye giriþ yapamýyorum hata veriyor.", "þikayet"
"120", "Sipariþim eksik geldi lütfen ilgilenin.", "þikayet"
"121", "Sular kesik.", "bilgi"
"122", "Elektrikler kesik.", "bilgi"
"123", "Bir hafta oldu kargom hala elime ulaþmadý.", "þikayet"
"124", "Bilgisayarým çok ýsýnýyor.", "þikayet"
"125", "Satýcý çok ilgisizdi.", "þikayet"
"126", "Cevap alamýyorum.", "þikayet"
"127", "Telefonumu açmýyor.", "þikayet"
"128", "Mesajlarýma cevap vermiyor.", "þikayet"
"129", "Hava inanýlmaz kirli.", "þikayet"
"130", "Telefonun fiyatý 17002 liraymýþ.", "bilgi"
"131", "Bilgisayarýn fiyatý 12350 liraymýþ", "bilgi"
"132", "Pizzada Mozarella Peyniri de var.", "bilgi"
"133", "1 byte 8 bittir.", "bilgi"
"134", "1 gigabyte 1024 megabytetýr", "bilgi"
"135", "1 terabtye 1024 gigabytetýr", "bilgi"
"136", "Ücretsiz deneme süresi ne kadar?", "bilgi"
"137", "Kargo tam üç gündür hareket etmedi.", "þikayet"
"138", "Ürünün kutusu ezilmiþti.", "þikayet"
"139", "pH 7'nin altýndaysa asidiktir.", "bilgi"
"140", "pH 7'nin üstündeyse baziktir.", "bilgi"
"141", "Asit mavi turnusol kaðýdýný kýrmýzýya renge çevirir.", "bilgi"
"142", "Baz kýrmýzý turnosal kaðýdýný mor renge çevirir", "bilgi"
"143", "Ýðrenç bir tadý var.", "þikayet"
"144", "Yemek aþýrý tuzluydu", "þikayet"
"145", "Yemekte resmen hiç tuz yoktu", "þikayet"
"146", "Bu saatte elektrik mi kesilir ya?", "þikayet"
"147", "Kütüphaneniz hafta içi saat kaça kadar açýk?", "bilgi"
"148", "Bu cihazýn pil ömrü ne kadar?", "bilgi"
"149", "Kursunuz online mý yoksa yüz yüze mi?", "bilgi"
"150", "Etkinlik için kayýt nereden yapýlýr?", "bilgi"
"151", "Tatil süresi kaç gün?", "bilgi"
"152", "Pasaport yenileme iþlemi kaç günde tamamlanýr?", "bilgi"
"153", "Bu ürün stokta mevcut mu?", "bilgi"
"154", "Sýnav sonuçlarý ne zaman açýklanacak?", "bilgi"
"155", "Eðitim videolarýnýza nasýl ulaþabilirim?", "bilgi"
"156", "Spor salonu üyeliði aylýk mý yýllýk mý?", "bilgi"
"157", "Müze giriþi ücretli mi?", "bilgi"
"158", "Kitap sipariþim hangi kargo ile gelecek?", "bilgi"
"159", "Kayýt için hangi belgeler gerekiyor?", "bilgi"
"160", "Bu yazýlým hangi iþletim sistemlerinde çalýþýyor?", "bilgi"
"161", "Saat kaçta kapanýyorsunuz?", "bilgi"
"162", "Bu ürün baþka renklerde mevcut mu?", "bilgi"
"163", "Online derslerin kaydý sonra izlenebilir mi?", "bilgi"
"164", "Sertifika e-posta ile mi gönderiliyor?", "bilgi"
"165", "Ýade ettiðim ürünün ücret iadesi ne zaman yapýlýr?", "bilgi"
"166", "Mobil uygulamanýzda puan sistemi nasýl iþliyor?", "bilgi"
"167", "Yeni koleksiyon ne zaman satýþa çýkýyor?", "bilgi"
"168", "Abonelik iptali nasýl yapýlýr?", "bilgi"
"169", "Ürünü maðazadan teslim alabilir miyim?", "bilgi"
"170", "Satýn aldýðým ürün montajlý mý geliyor?", "bilgi"
"171", "Gönderdiðiniz montaj þemasý eksikti.", "þikayet"
"172", "Telefonla ulaþamýyorum hep meþgul.", "þikayet"
"173", "Web sitesinden ödeme yapamýyorum.", "þikayet"
"174", "Aldýðým ürün bozuk çýktý.", "þikayet"
"175", "Canlý destek yardým etmiyor hep ayný cevaplarý veriyor.", "þikayet"
"176", "Sipariþim iki kere iptal edildi.", "þikayet"
"177", "Sürekli uygulama çöküyor.", "þikayet"
"178", "Gelen ürün ilanla uyuþmuyor.", "þikayet"
"179", "Ürün eksik parça ile geldi.", "þikayet"
"180", "Paketleme çok özensizdi.", "þikayet"
"181", "Hatalý ürün gönderilmiþ ilgilenmiyorsunuz.", "þikayet"
"182", "Size ulaþmak neredeyse imkansýz.", "þikayet"
"183", "Yemek çok geç geldi ve soðuktu.", "þikayet"
"184", "Kredi kartýmdan fazla para çekilmiþ.", "þikayet"
"185", "Teknik servis dönüþ yapmýyor.", "þikayet"
"186", "Gönderdiðiniz ürün çalýþmýyor.", "þikayet"
"187", "Müþteri temsilciniz ilgisiz davrandý.", "þikayet"
"188", "Ürün gecikmeli geldi ve bilgilendirme yapýlmadý.", "þikayet"
"189", "Üye giriþi yapamýyorum hata alýyorum.", "þikayet"
"190", "Sipariþim sistemde gözükmüyor.", "þikayet"
"191", "Satýn aldýðým ürün baþka biri tarafýndan teslim alýnmýþ.", "þikayet"
"192", "Uygulamanýz çok yavaþ çalýþýyor.", "þikayet"
"193", "Ýade ettiðim halde para iadesi yapýlmadý.", "þikayet"
"194", "Ben bu çocuða bir türlü erken kalkmayý öðretemedim.", "þikayet"
"195", "Havalarýn böyle kurak gitmesi hiç hayra alamet deðil.", "þikayet"
"196", "Söyleye söyleye dilimde tüy bitti yazarken noktalamaya dikkat etmiyor.", "þikayet"
"197", "Romandaki dizgi yanlýþlarý yerinde duruyor.", "þikayet"
"198", "OBS sisteminden notlarýnýzý görebilirsiniz.", "bilgi"
"199", "Çenesuyu'nun sularý Çenedere'den gelmektedir.", "bilgi"
"200", "Elma'nýn içerisinde ki asit Malik Asit'tir.", "bilgi"
"201", "Bu ürün plastik malzemeden üretilmiþtir.", "bilgi"
"202", "Kampanya sadece hafta sonu geçerlidir.", "bilgi"
"203", "Bu telefon suya ve toza dayanýklýdýr.", "bilgi"
"204", "Güneþ doðudan doðar ve batýdan batar.", "bilgi"
"205", "Türkiye'nin baþkenti Ankara’dýr.", "bilgi"
"206", "Marmara Bölgesi sanayi bakýmýndan geliþmiþtir.", "bilgi"
"207", "Bu cihaz 2 yýl garantilidir.", "bilgi"
"208", "Dünya'nýn uydusu Ay’dýr.", "bilgi"
"209", "Ürün sepete eklendikten sonra 30 dakika boyunca rezerve edilir.", "bilgi"
"210", "Hava sýcaklýðý bugün 22 derece olacak.", "bilgi"
"211", "Arýlarýn bal üretmesi için polene ihtiyacý vardýr.", "bilgi"
"212", "Limon C vitamini açýsýndan zengindir.", "bilgi"
"213", "Elektrik faturalarý ayýn 15'inde kesilir.", "bilgi"
"214", "Bu saat modelinde çelik kasa kullanýlmýþtýr.", "bilgi"
"215", "T.C. kimlik numarasý 11 hanelidir.", "bilgi"
"216", "Öðrenciler sýnav sonuçlarýný e-Devlet üzerinden öðrenebilir.", "bilgi"
"217", "Bu uygulama hem iOS hem Android'de çalýþýr.", "bilgi"
"218", "Dondurma buzdolabýnýn dondurucu kýsmýnda saklanmalýdýr.", "bilgi"
"219", "Türkiye’nin en uzun nehri Kýzýlýrmak’týr.", "bilgi"
"220", "Bu hizmet yalnýzca üyelik oluþturan kullanýcýlar içindir.", "bilgi"
"221", "Ýstanbul Boðazý Karadeniz ile Marmara’yý birbirine baðlar.", "bilgi"
"222", "Bu kitap 2023 yýlýnda yayýmlanmýþtýr.", "bilgi"
"223", "Ayakkabýnýn numara aralýðý 36 ile 45 arasýnda deðiþiyor.", "bilgi"
"224", "Her sabah 08:30’da servis kalkmaktadýr.", "bilgi"
"225", "Toplam ödeme tutarýna KDV dahildir.", "bilgi"
"226", "Bu ürün çok kalitesiz çýktý hemen bozuldu.", "þikayet"
"227", "Kargom kýrýk geldi lütfen ilgilenin.", "þikayet"
"228", "Sipariþim yanlýþ adrese gönderilmiþ.", "þikayet"
"229", "Müþteri hizmetleri telefona bakmýyor.", "þikayet"
"230", "Saat söyledikleri tarihte ulaþmadý.", "þikayet"
"231", "Kredi kartýmdan izinsiz ödeme yapýlmýþ.", "þikayet"
"232", "Uygulamanýz sürekli hata veriyor.", "þikayet"
"233", "Ürünü iade ettim ama param yatmadý.", "þikayet"
"234", "Size ulaþmak çok zor hiç yardýmcý olmuyorsunuz.", "þikayet"
"235", "Gelen ürün görseldekiyle alakasýz.", "þikayet"
"236", "Yemek sipariþim geç ve soðuk geldi.", "þikayet"
"237", "Arýza kaydý oluþturmama raðmen hala bir iþlem yapýlmadý.", "þikayet"
"238", "Satýcý kýrýk ürün göndermiþ.", "þikayet"
"239", "Paket çok özensiz hazýrlanmýþtý.", "þikayet"
"240", "Aldýðým ayakkabýnýn dikiþleri açýldý.", "þikayet"
"241", "Elektrik günlerdir gelmiyor.", "þikayet"
"242", "Ürün tanýtýmýnda yazan özellikler yoktu.", "þikayet"
"243", "Canlý destek saatlerdir cevap vermiyor.", "þikayet"
"244", "Kargom yola çýktýðý halde hala elime ulaþmadý.", "þikayet"
"245", "Web sitesine giriþ yapamýyorum þifre hatalý diyor.", "þikayet"
"246", "Ýptal ettiðim sipariþin ödemesi hâlâ yapýlmadý.", "þikayet"
"247", "Sizinle iletiþim kurmak imkânsýz gibi.", "þikayet"
"248", "Garanti kapsamýnda olmasýna raðmen tamir edilmedi.", "þikayet"
"249", "Kahvenin içinde telve vardý içemedim.", "þikayet"
"250", "Sipariþ verirken sistem hata verip ödeme aldý.", "þikayet"
"251", "Kargo geldiðinde evde yoksam ne olur?", "bilgi"
"252", "Kargo firmasýný nasýl seçerim?", "bilgi"
"253", "Kargomu teslim almazsam ne olur?", "bilgi"
"254", "Canlý destek var mý?", "bilgi"
"255", "Müþteri temsilcisiyle nasýl iletiþime geçebilirim?", "bilgi"
"256", "Kargo çok gecikti", "þikayet"
"257", "Kargoyu bulamýyorum.", "þikayet"
"258", "Kargo teslim edilmedi.", "þikayet"
"259", "Sürekli hata alýyorum.", "þikayet"
"260", "Sipariþ sonrasý ilgilenilmedi.", "þikayet"
"261", "Sipariþim kaybolmuþ.", "þikayet"
"262", "Canlý destek yok.", "þikayet"
"263", "Ýade için kaç gün sürem var?", "bilgi"
"264", "Sipariþler kaç gün içinde hazýrlanýyor?", "bilgi"
"265", "Sipariþimin durumu ne?", "bilgi"
"266", "Ürün geç geldi.", "þikayet"
"267", "Ürün geri alýnmadý.", "þikayet"
"268", "Kargo süresi aþýrý uzundu.", "þikayet"
"269", "Kargo teslim edilmeden teslim edildi gösterilmiþ.", "þikayet"
"270", "Ürün anlatýldýðý gibi deðil.", "þikayet"
"271", "Ürün açýklamasý ile uyumsuz.", "þikayet"
"272", "Ýlgisizlikten þikayetçiyim.", "þikayet"
"273", "Sürekli teknik sorun çýkýyor.", "þikayet"
"274", "Ücretsiz kargo için limit nedir?", "bilgi"
"275", "Telefonla sipariþ verebilir miyim?", "bilgi"
"276", "Sipariþ sonrasý deðiþiklik mümkün mü?", "bilgi"
"277", "Mobil uygulamada da indirimler geçerli mi?", "bilgi"
"278", "Kampanyalar ne sýklýkla yenileniyor?", "bilgi"
"279", "Hediye kartý var mý?", "bilgi"
"280", "Sadece kredi kartý mý kabul ediliyor?", "bilgi"
"281", "Kampanya detaylarýný nereden öðrenebilirim?", "bilgi"
"282", "Garanti koþullarý nelerdir?", "bilgi"
"283", "Hediye paketi seçeneði bulunuyor mu?", "bilgi"
"284", "Ödeme onayý ne kadar sürede gelir?", "bilgi"
"285", "Fiyatlar güncel mi?", "bilgi"
"286", "Sipariþten sonra adres deðiþikliði mümkün mü?", "bilgi"
"287", "Hangi ürünler indirimde?", "bilgi"
"288", "Ürünün üretim yeri neresi?", "bilgi"
"289", "Canlý destek açýlma saatleri nedir?", "bilgi"
"290", "Sipariþimdeki ürünlerin açýklamalarý neler?", "bilgi"
"291", "Sipariþim hatalý.", "þikayet"
"292", "Ürün çalýþmýyor.", "þikayet"
"293", "Hatalý ürün göndermiþsiniz.", "þikayet"
"294", "Kargo firmasýna ulaþýlamýyor.", "þikayet"
"295", "Ürün eksik aksesuarla geldi.", "þikayet"
"296", "Ürün hasarlý ulaþtý.", "þikayet"
"297", "Kahve beklediðim gibi deðildi.", "þikayet"
"298", "Fazla ücret çekilmiþ.", "þikayet"
"299", "Fatura hala gönderilmedi.", "þikayet"
"300", "Ýade ettiðim ürünün parasý yatmadý.", "þikayet"
"301", "Parasý yatmadý.", "þikayet"
"302", "Ürün hasarlý geldi.", "þikayet"
"303", "Hediye paketi var mý?", "bilgi"
"304", "Hangileri indirimde?", "bilgi"
"305", "Ürünlerin açýklamalarý neler?", "bilgi"
"306", "Açýklamalarý neler?", "bilgi"
"307", "Neler?", "bilgi"
"308", "Hasarlý ulaþtý.", "þikayet"
"309", "Firmaya ulaþýlmýyor.", "þikayet"
"310", "Müþteri temsilcileri çok ilgisiz.", "þikayet"
"311", "Sorunum çözülmedi.", "þikayet"
"312", "Ýnternet çok yavaþ.", "þikayet"
"313", "Dünya'da 7 adet kýta bulunmaktadýr.", "bilgi"
"314", "Dünyanýn en iyi eðitim sistemine sahip ülkesi Finlandiya'dýr.", "bilgi"
"315", "Kargo teslimat süresi genellikle 2-3 iþ günüdür.", "bilgi"
"316", "Banka hesabýnýzdan havale iþlemi 7/24 yapýlabilir.", "bilgi"
"317", "Ürün garanti süresi 2 yýldýr.", "bilgi"
"318", "Ýnternet paketinizin kotasý aylýk 50 GB'dýr.", "bilgi"
"319", "Sipariþiniz onaylandýktan sonra e-posta ile bilgilendirme yapýlýr.", "bilgi"
"320", "Faturanýz her ayýn 5'inde kesilir.", "bilgi"
"321", "Üye olmak için sadece e-posta ve þifre yeterlidir.", "bilgi"
"322", "Ýade iþlemleri için 14 gün süreniz vardýr.", "bilgi"
"323", "Müþteri hizmetleri haftanýn 7 günü hizmet vermektedir.", "bilgi"
"324", "Ürün stokta mevcutsa ayný gün kargoya verilir.", "bilgi"
"325", "Uçak biletlerinde promosyonlar sýnýrlý kontenjanla sunulur.", "bilgi"
"326", "E-devlet üzerinden adres bilgilerinizi güncelleyebilirsiniz.", "bilgi"
"327", "Þubemiz hafta içi her gün saat 09:00 - 17:00 arasý açýktýr.", "bilgi"
"328", "Kredi baþvurularý mobil uygulama üzerinden yapýlabilir.", "bilgi"
"329", "Kampanya yalnýzca yeni üyeler için geçerlidir.", "bilgi"
"330", "Sisteme kayýtlý telefon numaranýza SMS gönderilecektir.", "bilgi"
"331", "Ürün rengi ekranda görüldüðünden farklýlýk gösterebilir.", "bilgi"
"332", "Web sitemizden takip numarasýyla kargonuzu izleyebilirsiniz.", "bilgi"
"333", "Ücretsiz kargo fýrsatý 500 TL ve üzeri alýþveriþlerde geçerlidir.", "bilgi"
"334", "Eðitim programý her ayýn ilk haftasýnda baþlar.", "bilgi"
"335", "Bu özellik yalnýzca premium kullanýcýlar için aktif edilir.", "bilgi"
"336", "Güncelleme ile uygulamaya karanlýk mod eklendi.", "bilgi"
"337", "Ödeme esnasýnda hediye çeki kullanýlabilir.", "bilgi"
"338", "Fiyatlara KDV dahildir.", "bilgi"
"339", "Kullanýcý sözleþmesi web sitesinde yayýnlanmaktadýr.", "bilgi"
"340", "Kargom hâlâ gelmedi teslimat gecikti.", "þikayet"
"341", "Ürün arýzalý geldi çalýþmýyor.", "þikayet"
"342", "Müþteri hizmetlerine ulaþamýyorum.", "þikayet"
"343", "Kredi kartýmdan izinsiz para çekilmiþ.", "þikayet"
"344", "Paketim yanlýþ adrese teslim edilmiþ.", "þikayet"
"345", "Sipariþim eksik geldi.", "þikayet"
"346", "Uygulama sürekli çöküyor iþlem yapamýyorum.", "þikayet"
"347", "Uygulama çöküyor.", "þikayet"
"348", "Uygulama sürekli çöküyor iþlem yapamýyorum.", "þikayet"
"349", "Ýþlem yapamýyorum.", "þikayet"
"350", "Aldýðým ürün açýklamada anlatýldýðý gibi deðil.", "þikayet"
"351", "Destek ekibi çok geç geri dönüþ yapýyor.", "þikayet"
"352", "Garanti kapsamýnda olmasýna raðmen iþlem yapýlmadý.", "þikayet"
"353", "Kargo takip numarasý çalýþmýyor.", "þikayet"
"354", "Aradýðýmda hep hatta bekletiliyorum.", "þikayet"
"355", "Hep bekletiliyorum.", "þikayet"
"356", "Kampanya koþullarý açýkça belirtilmemiþ.", "þikayet"
"357", "Açýkça belirtilmemiþ.", "þikayet"
"358", "Ürün kutusu hasarlýydý.", "þikayet"
"359", "Ürün hasarlýydý.", "þikayet"
"360", "Kutu hasarlýydý.", "þikayet"
"361", "Hasarlýydý.", "þikayet"
"362", "Kargo görevlisi teslim etmeden 'teslim edildi' yazmýþ.", "þikayet"
"363", "Sipariþ durumum güncellenmiyor.", "þikayet"
"364", "Ödeme ekraný hata veriyor iþlem tamamlanamýyor.", "þikayet"
"365", "Çaðrý merkezi çalýþaný çok ilgisizdi.", "þikayet"
"366", "Fatura yanlýþ kesilmiþ.", "þikayet"
"367", "Ýndirim kuponum geçersiz görünüyor.", "þikayet"
"368", "Satýcý mesajlara cevap vermiyor.", "þikayet"
"369", "ygulama içi reklamlar aþýrý rahatsýz edici.", "þikayet"
"370", "Ürün stoðu var gösteriliyor ama sipariþ alýnmýyor.", "þikayet"
"371", "Ayný ürünü farklý fiyatlarla gördüm güvenimi kaybettim.", "þikayet"
"372", "Sipariþlerimi uygulamadan takip edebilir miyim?", "bilgi"
"373", "Kargo ücretini kim ödüyor?", "bilgi"
"374", "Ücreti kim ödüyor?", "bilgi"
"375", "Kim ödüyor?", "bilgi"
"376", "Ön sipariþ nedir?", "bilgi"
"377", "Sipariþ nedir?", "bilgi"
"378", "Ürün stokta var mý?", "bilgi"
"379", "Stokta var mý?", "bilgi"
"380", "Ayný üründen birden fazla sipariþ verebilir miyim?", "bilgi"
"381", "Birden fazla sipariþ verebilir miyim?", "bilgi"
"382", "Sipariþ verebilir miyim?", "bilgi"
"383", "Hangi ürünler stokta yok?", "bilgi"
"384", "Sipariþim kargoya verildi mi?", "bilgi"
"385", "Kargoya verildi mi?", "bilgi"
"386", "Hangi ürünlerde taksit imkâný var?", "bilgi"
"387", "Hangilerinde taksit imkaný var?", "bilgi"
"388", "Taksit imkaný var mý?", "bilgi"
"389", "Teslimat esnasýnda ödeme yapýlabilir mi?", "bilgi"
"390", "Ödeme yapýlabilir mi?", "bilgi"
"391", "Yapýlabilir mi?", "bilgi"
"392", "Sitenizde ürün karþýlaþtýrma var mý?", "bilgi"
"393", "Ürün karþýlaþtýrma var mý?", "bilgi"
"394", "Web siteniz var mý?", "bilgi"
"395", "Yemek berbattý", "þikayet"
"396", "Yemek çok kötüydü.", "þikayet"
"397", "Organizasyon berbattý.", "þikayet"
"398", "Organizasyon rezaletti.", "þikayet"
"399", "Organizasyon çok kötüydü.", "þikayet"
"400", "Ýlgilenilmedi.", "þikayet"
"401", "Bakýlmýyor.", "þikayet"
"402", "Garsonlar bakmýyor.", "þikayet"
"403", "Hala sipariþ veremedim.", "þikayet"
"404", "Kargo rasgele bir yere býrakýlmýþ.", "þikayet"
"405", "Kargo öylece bir yere býrakýlmýþ.", "þikayet"
"406", "Paket çok özensizdi.", "þikayet"
"407", "Paketleme çok özensizdi", "þikayet"
"408", "Paketleme çok kötüydü.", "þikayet"
"409", "Paket çok kötüydü.", "þikayet"
"410", "Destek ekibiniz çok yavaþ cevap veriyor.", "þikayet"
"411", "Destek ekibiniz çok yavaþ.", "þikayet"
"412", "Çok yavaþlar.", "þikayet"
"413", "Çok yavaþ cevap veriyorlar.", "þikayet"
"414", "Cevap vermiyorlar.", "þikayet"
"415", "Yanlýþ fatura kesilmiþ.", "þikayet"
"416", "Yanlýþ adrese fatura kesilmiþ.", "þikayet"
"417", "Yanlýþ plakaya ceza kesmiþler.", "þikayet"
"418", "Yanlýþ ürün geldi.", "þikayet"
"419", "Hatalý ürün geldi.", "þikayet"
